id	name	connectedrooms	room1	room2	room3	room4	direction1	direction2	direction3	direction4	roomDescription	roomInspect	LockedRoomDescription	RequiredItem
0	Dungeon	1	2	0	0	0	South				You awake to the sound of thunder echoing from outside the sound of rain hitting stone. You find yourself in a small jail cell, with rust covering the bars. As you peer into the surrounding darkness you see no one the room only being lit by brief cracks of thunder and light descending downwards from a stair case.	You inspect your surroundings but confirm that you are alone except for a skeleton lying opporsite to you with a shattered pelvis.		0
1	Torture Room	1	2	0	0	0	East				When you enter this room you are over come by the horrible smell of burnt flesh, a single flicking torch at the back of the room lighting the room. From peering in you notice a large steel table in the centre with an assortment of tools of all different sizes and spikes placed neartly on hooks on the wall.	Over coming your sense of smell you step in further, noticing that the room is appears to be stained a dark red colour. You also notice an assortment of tools of all different sizes and spikes hanging on hooks on the wall, some rusty, some glimmying bright in the torch light.		2
2	Hallway	4	1	3	5	0	West	East	South	North	The hallway is well lit by several torches evenly spaced out along the walls, it appears to lead to a set of spiraling stair case at the end.	Looking around you notice very little, the stone walls seem to be worn, giving you the impression that it was built long ago. You also notice two rooms to the side, one with a hint of light inside, the other appearing pitch black.	You awake to the sound of thunder echoing from outside the sound of rain hitting stone. You find yourself in a small jail cell, with rust covering the bars. As you peer into the surrounding darkness you see no one the room only being lit by brief cracks of thunder and light descending downwards from a stair case. \nYou attempt to leave your cell, only to be stopped by series of bars who would of thought?	2
3	Storage Room	1	2	0	0	0	West				With the Torch held in your hand you are able to illuminate the room, revealing crates and bags scatered throughout, some opened some sealed, all covered in a thick layer of dust. You are also able to see some rusted weapons placed along the wall.	Walking around the room you are able to see some clothes and what appear to be old clothes thrown away, along with a range of weapons scattered throughout the room.	The hallway is well lit by several torches evenly spaced out along the walls, it appears to lead to a set of spiraling stair case at the end. \nYou look into this room but it is shrouded in darkness, you can't make out anything	3
4	Guest Bedroom	1	5	0	0	0	East				The room is lit by two candle stands besides a four poster bed, the bed beng covered in deep red colours of incredible quality. Who ever would sleep here must of been individuals of high standing.	Taking a closer look at the room you notice two important things. The first is that the room is covered in dust like many rooms you have visted, the second is that the bed is not covered in dust, it appears to of been freshly made, not a spec of dust on it.	You stand at the enterence of what appeared to be the basement or dungeon room, Stretched out before you is the first floor of the castle. Torches line the walls and a vibrant red carpet stretches along the floors. The carpet appears already ruined by your grimmy feet. \nTurning the handle reveals that the door is locked.	4
5	Stairs 1st Floor	4	9	4	6	2	South	West	East 	North	You stand at the enterence of what appeared to be the basement or dungeon room, Stretched out before you is the first floor of the castle. Torches line the walls and a vibrant red carpet stretches along the floors. The carpet appears already ruined by your grimmy feet.	Torches line the walls, with a vibrant red carpet stretching along the floor in all directions. To the east however the faint aroma of food fills your nostrils.		0
6	Pantry	2	5	10	0	0	West	South			Rows of selves are filled with various breads, spices, savourys and sweets. The variance in food seems endless, it would be a master cooks dream pantry.	Feeling your belly rumble at the site, you reach for a loaf of bread to eat. As you bring it up to your mouth however you notice that this bread is covered in mold. Shocked you through the moldy bread to the ground, and reach for a delcious apple, only for it to become rotten and spoil in your hands. As you continue to grab food you quickly realize that all this food is rotten and expired many years ago, though at first glance appeared in perfect condition.		0
7	Stairs leading upstairs	1	9	0	0	0	South East				You begin to climb the stairs upwards to the second floor as you make your way to the top an incredible sense of dread takes hold of you.	to be continued.		0
8	Waiting Room	1	11	0	0	0	South East				The light from the outside storm briely lighting up the room through two large windows. Through the flicks of light you can make out two lavish couches in the center seperated by a rectangular coffee table of high quality.	Stepping carefully around the furniture your drawn to the coffee table. On it you see a cup of tea next to a photo of a women.		0
9	Living Room	4	11	12	7	5	South	South East	North West	North	The room is well lit from a chandelier in the center, a large blood red carpet with a picture of a dragon with out stetched wings, covers nearly the entire floor	You feel charmed by the image of the dragon and stare at it more and more. It seems so familiar, something is at the edge of your mind you can feel it. Just when your about to move on however the image of a dragon flashes in your mind, the image of a dragon that transforms into a man draped in fine red cloaks.As you snap back to reality, a feeling of impending doom creeps into your mind, whatever that image was, you wish to never see it again		0
10	Kitchen	2	12	6	0	0	South	North			The kitchen appears to be covered in dust, lit from a small chandelier in the center. Pans are rusted through, knives as dull as clubs, stoves that appear to have not been used in years.	Pacing around the kitchen looking for anything useful, you come up empty handed, all you seem to find is rusted kitchen utensils.		0
11	Front Door	3	8	12	9	0	North West	South East	North		You stand before a large wooden double door that appears to be your only hope of escape. Although the door is locked as you attempt to open it, there is a large keyhole in the center, there may be hope yet, just got to find the key.	he door appears to be reinforced with steel and iron, it would be take a battering ram if that to bring it down. Impossible for any single person.		0
12	Dinning Room	3	9	11	10	0	North West	South West	North		A large table takes up most of the room, with three large candle sticks evenly placed along it providing light to the room.A large feast is layed out on the table, with all sorts of fruits and meats covering all surfaces, a large roasted pig being the center piece of it all.	Looking around the room, the smell of the food is overwhelming, in this very moment you realize how hungry you are. Your mouth begins to water at the site of it all, however through all of that a part of you questions all of this, it seems so out of place, so strange.		0